ID,Topic,Original A,B,Vote
48,Location,no_evident_not_close_to_center,construction,
49,Location,no_evident_not_close_to_center,far_from_center,
50,Location,no_evident_not_close_to_city_center,construction,
51,Location,no_evident_not_close_to_city_center,ringing_area,
52,Location,no_evident_not_close_to_downtown,lovely_restaurants,
53,Location,no_evident_not_close_to_downtown,ringing_area,
54,Location,no_evident_not_close_to_everything,poorly_lit,
55,Location,no_evident_not_close_to_field,empty_room,
56,Location,no_evident_not_close_to_hotel,near_beach,
57,Location,no_evident_not_close_to_larnaca_center,bad_street,
58,Location,no_evident_not_close_to_larnaca_center,hard_to_find_location,
59,Location,no_evident_not_close_to_larnaca_center,no_food,
60,Location,no_evident_not_close_to_larnaca_center,no_street,
61,Location,no_evident_not_close_to_larnaca_center,not_easy_with_bus,
62,Location,no_evident_not_close_to_local_restaurants,far_from_local_shop,
63,Location,no_evident_not_close_to_location,airport_noise,
64,Location,no_evident_not_close_to_location,next_door,
65,Location,no_evident_not_close_to_luxurious_beach_strip,amongst_apartment_buildings,
66,Location,no_evident_not_close_to_luxurious_beach_strip,no_shop,
67,Location,no_evident_not_close_to_luxurious_beach_strip,passing_garbage_truck,
68,Location,no_evident_not_close_to_luxurious_beach_strip,unfortunate_location,
69,Location,no_evident_not_close_to_mackenzie_beach,good_area,
70,Location,no_evident_not_close_to_makenzie,far_from_local_shop,
71,Location,no_evident_not_close_to_makenzie,far_from_town,
72,Location,no_evident_not_close_to_makenzie,light_from_outside,
73,Location,no_evident_not_close_to_party,no_street,
74,Location,no_evident_not_comfortable_location,area,
75,Location,no_evident_not_convenient_location,garbage_containers,
76,Location,no_evident_not_convenient_location,inspiring_location,
77,Location,no_evident_not_conveniently_located,noise_of_planes,
78,Location,no_evident_not_conveniently_located,walk_to_promenade,
79,Location,no_evident_not_cool_bars_and_restaurants,far_from_city_center,
80,Location,no_evident_not_cool_bars_and_restaurants,not_on_beach_front,
81,Location,no_evident_not_cozy_hotel,warm_fridge,
82,Location,no_evident_not_delicious_restaurants,far_from_beach,
83,Location,no_evident_not_delicious_restaurants,smoke_location,
84,Location,no_evident_not_early_morning_flight,bad_smell,
85,Location,no_evident_not_easily_reached_from_airport,next_door,
86,Location,no_evident_not_easy_access,no_nearby_location,
87,Location,no_evident_not_easy_access_to_public_transportation,little_way_from_main_town,
88,Location,no_evident_not_easy_for_airport,hard_to_find_location,
89,Location,no_evident_not_easy_place,area,
90,Location,no_evident_not_easy_place,night_noise,
91,Location,no_evident_not_easy_to_catch_public_transportation,car_noise,
92,Location,no_evident_not_easy_to_from,car_noise,
93,Location,no_evident_not_easy_to_from,far_from_local_shop,
94,Location,no_evident_not_easy_to_get_here_by_bus,next_door,
95,Location,no_evident_not_easy_to_get_here_by_bus,smell_on_street,
96,Location,no_evident_not_easy_to_reach,bad_location,
97,Location,no_evident_not_easy_walk_to_mackenzie_beach,on_the_edge,
98,Location,no_evident_not_easy_walk_to_mackenzie_beach,walking_to_town,
99,Location,no_evident_not_embankment,nearby_beach,
100,Location,no_evident_not_entertainment,empty_room,
101,Location,no_evident_not_excellent_location,alley_location,
102,Location,no_evident_not_excellent_location,far_from_local_shop,
103,Location,no_evident_not_excellent_location,poorly_lit,
104,Location,no_evident_not_fantastic_location,shuts_at_22_30,
105,Location,no_evident_not_fine_location,smell_of_jet_fuel,
106,Location,no_evident_not_for_airport,large_lorry_noise,
107,Location,no_evident_not_for_airport,walk_to_promenade,
108,Location,no_evident_not_from_airport,amongst_apartment_buildings,
109,Location,no_evident_not_from_airport,sewage_outside,
110,Location,no_evident_not_fun_restaurants,no_shop,
111,Location,no_evident_not_good_beach,small_street,
112,Location,no_evident_not_good_choice,bad_street,
113,Location,no_evident_not_good_choice,close_by,
114,Location,no_evident_not_good_choice,no_noise_at_night,
115,Location,no_evident_not_good_for_airport_transfers,intensive_road,
116,Location,no_evident_not_good_location,clean_location,
117,Location,no_evident_not_good_location,to_restaurants,
118,Location,no_evident_not_good_location_for_airport,hard_to_find,
119,Location,no_evident_not_good_restaurant,farther,
120,Location,no_evident_not_good_transitioning,ringing_area,
121,Location,no_evident_not_good_walking_distance,constant_stench,
122,Location,no_evident_not_good_walking_distance,large_lorry_noise,
123,Location,no_evident_not_good_walking_distance,noise_outside,
124,Location,no_evident_not_great_accessibility,constant_stench,
125,Location,no_evident_not_great_accessibility,stinky_city,
126,Location,no_evident_not_great_beach,city_center,
127,Location,no_evident_not_great_beach,hard_to_find_location,
128,Location,no_evident_not_great_location,construction,
129,Location,no_evident_not_great_option,amongst_apartment_buildings,
130,Location,no_evident_not_great_option,near_runway,
131,Location,no_evident_not_great_restaurants,no_nearby_location,
132,Location,no_evident_not_great_value,amongst_apartment_buildings,
133,Location,no_evident_not_great_value,no_food,
134,Location,no_evident_not_great_value,no_pharmacy,
135,Location,no_evident_not_hotel,hear_planes,
136,Location,no_evident_not_ideal_location,incredible_noise,
137,Location,no_evident_not_in_larnaca,inspiring_location,
138,Location,no_evident_not_in_larnaca,lovely_restaurants,
139,Location,no_evident_not_in_larnaca,unfriendly_environment,
140,Location,no_evident_not_intimate,noise_location,
141,Location,no_evident_not_late_arrival,far_from_sea,
142,Location,no_evident_not_late_arrival,small_downside,
143,Location,no_evident_not_late_flight,city_center,
144,Location,no_evident_not_late_flight,no_car_access,
145,Location,no_evident_not_late_flights,close_to_pension,
146,Location,no_evident_not_little_hotel,constant_stench,
147,Location,no_evident_not_loads_of_bars,city_center,
148,Location,no_evident_not_loads_of_bars,disturbing_location,
149,Location,no_evident_not_loads_of_restaurants,alley_location,
150,Location,no_evident_not_loads_of_restaurants,heavy_use_of_tiling,
151,Location,no_evident_not_loads_of_restaurants,outside,
152,Location,no_evident_not_location,far_from_center,
153,Location,no_evident_not_location,hard_to_find_location,
154,Location,no_evident_not_long_bars,alley_location,
155,Location,no_evident_not_lots_of_beach_shores,slamming_trunk,
156,Location,no_evident_not_lots_of_beach_shores,smell_manure,
157,Location,no_evident_not_lots_of_beach_shores,to_restaurants,
158,Location,no_evident_not_lots_of_parking_places,car_noise,
159,Location,no_evident_not_lots_of_restaurants,have_everything_in_cafe,
160,Location,no_evident_not_lots_of_restaurants,shuts_at_22_30,
161,Location,no_evident_not_lovely_restaurants,small_side_street,
162,Location,no_evident_not_mackenzie_beach,sewage_outside,
163,Location,no_evident_not_mackenzy_beach,garbage_street,
164,Location,no_evident_not_makenzie_beach_area,heavy_use_of_tiling,
165,Location,no_evident_not_makenzie_beach_area,not_much_else,
166,Location,no_evident_not_many_bars_nearby,next_door,
167,Location,no_evident_not_many_bars_nearby,noise_from_a_clubhouse,
168,Location,no_evident_not_many_cafes_nearby,far_from_center,
169,Location,no_evident_not_many_cafes_nearby,noise_of_discotheque,
170,Location,no_evident_not_many_cafes_nearby,small_street,
171,Location,no_evident_not_many_café_around,garbage_containers,
172,Location,no_evident_not_many_restaurants,smell_from_lake,
173,Location,no_evident_not_many_restaurants,wasteland,
174,Location,no_evident_not_many_restaurants_and_cafes,large_lorry_noise,
175,Location,no_evident_not_many_restaurants_and_coffee_shops,noisy_location,
176,Location,no_evident_not_mckenzie_beach,degraded_area,
177,Location,no_evident_not_near_MacKenzie_beach,smell_from_lake,
178,Location,no_evident_not_near_McKenzie_Beach,loud_location,
179,Location,no_evident_not_near_McKenzie_Beach,lovely_restaurants,
180,Location,no_evident_not_near_McKenzie_Beach,under_construction,
181,Location,no_evident_not_near_airport,poorly_lit,
182,Location,no_evident_not_near_bus_stop,car_noise,
183,Location,no_evident_not_near_bus_stop,no_sleep,
184,Location,no_evident_not_near_cafes,ringing_area,
185,Location,no_evident_not_near_highway,far_location,
186,Location,no_evident_not_near_historical_area,disturbed_by_aircraft_noise,
187,Location,no_evident_not_near_historical_area,hear_planes,
188,Location,no_evident_not_near_historical_area,noise_of_discotheque,
189,Location,no_evident_not_near_lake,smell_on_street,
190,Location,no_evident_not_near_mackenzie_beach,no_noise,
191,Location,no_evident_not_near_mackenzie_beach,to_restaurants,
192,Location,no_evident_not_near_makanzie_beach,stinky_city,
193,Location,no_evident_not_near_mckenzie_beach,quiet_area,
194,Location,no_evident_not_near_salt_lake,far_from_center,
195,Location,no_evident_not_nearby_bars,difficult_sleep,
196,Location,no_evident_not_nearby_bars,noise_from_planes,
197,Location,no_evident_not_nearby_bars,slamming_trunk,
198,Location,no_evident_not_nearby_bus_stop,bad_street,
199,Location,no_evident_not_nearby_bus_stop,close_to_airport,
200,Location,no_evident_not_nearby_bus_stop,stinky_city,
201,Location,no_evident_not_nearby_the_beach,disco,
202,Location,no_evident_not_nice_beach,walking_to_town,
203,Location,no_evident_not_nice_city,noise_of_planes,
204,Location,no_evident_not_no_noise,no_noise_at_night,
205,Location,no_evident_not_noise_from_planes,heavy_use_of_tiling,
206,Location,no_evident_not_noise_from_planes,no_close_by,
207,Location,no_evident_not_not_far_from_sea,hear_planes,
208,Location,no_evident_not_numerous_restaurants,distant_location,
209,Location,no_evident_not_numerous_restaurants,farther,
210,Location,no_evident_not_old_town,far_from_town,
211,Location,no_evident_not_on_beach,bad_location,
212,Location,no_evident_not_on_beach,empty_room,
213,Location,no_evident_not_on_beach,farther,
214,Location,no_evident_not_only_a_30_minute_walk_to_the_central_marina,small_downside,
215,Location,no_evident_not_overnight_stay,noise,
216,Location,no_evident_not_party_mile,alley_location,
217,Location,no_evident_not_peaceful_area,to_restaurants,
218,Location,no_evident_not_pleasant_walk,hard_to_find_location,
219,Location,no_evident_not_pleasant_walk,no_noise_at_night,
220,Location,no_evident_not_prime_location,unrest,
221,Location,no_evident_not_promenade,construction,
222,Location,no_evident_not_promenade_by_sea,not_great_location,
223,Location,no_evident_not_quick_access,little_way_from_main_town,
224,Location,no_evident_not_quick_path,impression,
225,Location,no_evident_not_quick_path,light_from_outside,
226,Location,no_evident_not_quick_path,no_street,
227,Location,no_evident_not_quiet,night_noise,
228,Location,no_evident_not_quiet,noisy_location,
229,Location,no_evident_not_quiet_area,difficult_sleep,
230,Location,no_evident_not_quiet_area,slamming_trunk,
231,Location,no_evident_not_quiet_hotel,no_smell_in_hotel,
232,Location,no_evident_not_quiet_hotel,noisy_courtyard,
233,Location,no_evident_not_quiet_hotel,traffic_in_area,
234,Location,no_evident_not_quiet_place,no_pharmacy,
235,Location,no_evident_not_quiet_room,not_close_to_airport,
236,Location,no_evident_not_quiet_room,small_side_street,
237,Location,no_evident_not_restaurants,far_from_city_center,
238,Location,no_evident_not_restaurants,impression,
239,Location,no_evident_not_restaurants,quieter_beachs,
240,Location,no_evident_not_runs_every_15_minutes,degraded_area,
241,Location,no_evident_not_salt_lake,aircraft_noise,
242,Location,no_evident_not_salt_lake,far_from_city_center,
243,Location,no_evident_not_salt_lake_nearby,no_soundproof_room,
244,Location,no_evident_not_salt_lake_nearby,noisy_area,
245,Location,no_evident_not_salt_lake_nearby,on_the_edge,
246,Location,no_evident_not_sea,no_food,
247,Location,no_evident_not_sea,smell_of_jet_fuel,
248,Location,no_evident_not_sea_front,city_centre,
249,Location,no_evident_not_sea_front,constant_stench,
250,Location,no_evident_not_sea_front,farther,
251,Location,no_evident_not_sea_front,heavy_use_of_tiling,
252,Location,no_evident_not_short_distance,not_on_beach_front,
253,Location,no_evident_not_short_distance,stinky_city,
254,Location,no_evident_not_short_journey_from_airport,city_centre,
255,Location,no_evident_not_short_journey_from_airport,to_restaurants,
256,Location,no_evident_not_short_walk,hear_planes,
257,Location,no_evident_not_short_walk_to_mckenzie_beach,not_easy_with_bus,
258,Location,no_evident_not_short_walk_to_sea,bad_base,
259,Location,no_evident_not_short_walk_to_sea,far_location,
260,Location,no_evident_not_short_walking_distance_to_beach,noisy_location,
261,Location,no_evident_not_short_walking_distance_to_restaurants,degraded_area,
262,Location,no_evident_not_short_walking_distance_to_restaurants,walk_along_beach_promenade,
263,Location,no_evident_not_shuttle_to_field,far_from_city_center,
264,Location,no_evident_not_shuttle_to_field,far_from_town,
265,Location,no_evident_not_shuttle_to_field,not_close_to_beach,
266,Location,no_evident_not_shuttle_to_field,not_exciting_surroundings,
267,Location,no_evident_not_significant_proximity,not_easy_with_bus,
268,Location,no_evident_not_significant_proximity,unrest,
269,Location,no_evident_not_sound_from_landing_could_be_better,no_food,
270,Location,no_evident_not_sound_from_taking_off_could_be_better,under_construction,
271,Location,no_evident_not_sound_from_taking_off_could_be_better,wasteland,
272,Location,no_evident_not_starfish,unfriendly_environment,
273,Location,no_evident_not_to_airport,noise_from_a_clubhouse,
274,Location,no_evident_not_town,sewage_outside,
275,Location,no_evident_not_transit_hotel,quieter_beachs,
276,Location,no_evident_not_usefully_location,noisy_courtyard,
277,Location,no_evident_not_usefully_location,trek,
278,Location,no_evident_not_various_restaurants,far_from_major_tourist_spots,
279,Location,no_evident_not_various_restaurants,noisy_location,
280,Location,no_evident_not_very_close,noisy_location,
281,Location,no_evident_not_walk_to_sea,not_much_else,
282,Location,no_evident_not_walkable_location,noise_from_a_clubhouse,
283,Location,no_evident_not_walking_distance,far_from_town,
284,Location,no_evident_not_walking_distance_to_airport,close_by,
285,Location,no_evident_not_walking_distance_to_beach,far_from_centre,
286,Location,no_evident_not_walking_distance_to_beach,smell_manure,
287,Location,no_evident_not_walking_distance_to_center,close_by,
288,Location,no_evident_not_walking_distance_to_mackenzie_beach,heavy_use_of_tiling,
289,Location,no_evident_not_walking_distance_to_salt_lake,garbage_truck,
290,Location,no_evident_not_well_located_hotel,noise_from_a_clubhouse,
291,Location,no_evident_not_well_maintained_beach,area,
292,Location,no_evident_not_well_maintained_beach,difficult_sleep,
293,Location,no_evident_not_well_maintained_beach,heavy_use_of_tiling,
294,Location,no_evident_not_well_maintained_beach,walk_along_beach_promenade,
295,Location,no_evident_not_well_placed,bumpy_roads,
296,Location,no_evident_not_well_placed,noise_from_planes,
297,Location,no_evident_not_well_placed,noisy_location,
298,Location,no_evident_not_where_we_wanted_to_be,no_car_access,
299,Location,no_evident_not_where_we_wanted_to_be,sewage_outside,
300,Location,no_evident_not_within_walking_distance,to_restaurants,
